,0
0,"I Love This Tea Kettle, And I Don't Care Who Knows"
1,This one is my favorite part of my whole small kitchen.  
2,"This Is How You Should Eat Pineapple Pizza, And It May Make You Sad"
3,Let's end the debate.  
4,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
5,20 Products On Amazon That'll Make Perfect Gifts
6,"A hand-made aromatherapy gift box, a mini-doughnut maker, cozy boot socks, and 17 other delightful things you can get on Amazon.  "
7,We Know Which Car Breed Matches Your Personality Based On The Luxury Candles You Buy
8,Find the purrfect match!  
9,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
10,Choose An Animal From Each Continent And We'll Tell You The Best Store To Go Black Friday Shopping At
11,We've got you with these deals.  
12,25 Pictures That Are So Damn Dumb But So Damn Funny
13,Turn ya mind off for a minute.  
14,Choose Some Baby Animals And We'll Tell You If You Make Decisions With Your Heart Or Head
15,"Look at these smol, sweet babies.  "
16,26 Stylish Pairs Of Leggings For Anyone Who Refuses To Wear Pants
17,LEGGINGS ARE PANTS. DON'T @ ME.  
18,"Attention World, We Need To Talk About Lionel Richie's Son"
19,Third Richie's a charm.  
20,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
21,Which Famous Bird Are You?
22,"Tweet, tweet.  "
23,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
24,A Doctor Told Jessie J She 
25,Couldn't Have Children
26, And Her Response Will Warm Your Heart
27,It can't become something that defines us.
28,"Michelle Obama And Oprah Surprised 30 School Girls, And Their Reactions Were Heartfelt"
29,Grab the tissues.  
30,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
31,21 Tweets That Are Funny If You Are The Gay Cousin Or Have A Gay Cousin
32,The gay cousin is the most important family member and that's a fact.  
33,Eat A Ton Of Food At Denny's And We'll Tell You What Type Of Shark You Actually Are
34,It's no seacret.  
35,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
36,"25 Products That Are Just Sweet Little Cutie Pies Ready To Be In Your Life, Wow"
37,Give these lil' sweetie pops a good home!  
38, Has Its First Trailer And You're Going To Want To Call Your Mom After Watching It
39,"Baby mine, don't you cry."
40," xe2x80x94 Me, singing along while FULLY crying.  "
41,"Disney Y'all, Batman and the Penguin are back together again, but they've switched roles. Iconic."
42,What Would Your Custom-Made Emoji Look Like?
43,"Finally, you can make your own "
44,drooling sleepy relieved face
45, emoji!  
46,We Can Guess Your Zodiac Sign Based On The Fall Outfit You Build
47,Scorpios LOVE sweater weather.  
48, Movie Moments That Were Pretty Problematic In Hindsight
49,TLDR; Edward Cullen was a creep.  
50,26 Things To Put On Your Desk That'll Have Your Coworkers Saying 
51,"Damn, They're Cool"
