,0
0,"Cats Can Actually Follow Human Gaze, According To World-First Research"
1,They're the only animals other than dogs that have been shown to do this.  
2,17 People Who Literally Didn't Know Basic Anatomy
3,I grew up thinking that men were supposed to have three testicles.
4,"These Random Images Will Reveal Five Accurate Facts About You, So Deal With It"
5,I WILL NOT REVEAL MY METHODS.  
6,29 Truths You'll 100% Relate To If You're A Cotton On Employee
7,Nothing will ever beat that sweet staff discount.  
8,"Graciliano Rocha, Tatiana Farah"
9,O tempo fechou algumas vezes no tenso depoimento de Lula no processo do sxc3xadtio
10,"Na primeira aparixc3xa7xc3xa3o desde a prisxc3xa3o, Lula acusou a Lava Jato de tirxc3xa1-lo da eleixc3xa7xc3xa3o e negou que tenha pedido a algum empresxc3xa1rio para reformar o sxc3xadtio que frequentava. Houve arranca-rabos com a juxc3xadza, com procuradores e advogados.  "
11,"Na primeira aparixc3xa7xc3xa3o desde que foi preso em abril, o ex-presidente Luiz Inxc3xa1cio Lula da Silva confrontou procuradores do Ministxc3xa9rio Pxc3xbablico Federal, disse que xc3xa9 vxc3xadtima de uma "
12,20 Bathroom Products That Have No Right To Look This Good
13,You won't be flushing your money down the toilet!  
14,Choose From These Upsetting Food Pics To Reveal Your Favorite Thanksgiving Dish
15,It's gonna get a little weird up in here.  
16,Great! You're almost there! Check your inbox and confirm your subscription now!
17,"This Guy Knocked Over His Girlfriend While Trying To Propose, And You Will Laugh Then Cry"
18,This proposal was a knock-out.  
19,21 Useful Cleaning Gadgets That Actually Do What They Say They Will
20,Save your elbow grease: these gadgets have your back.  
21,Cats' Attempts To Sneak Into Museum Are FOILED Once Again
22,Rude.  
23,Great! The {{categories}} Newsletter{{quantity_prefix}} will be hitting your inbox soon.
24,"Corn Dog Pickles Are A Real Thing, And You Will Want To Eat One Now"
25,Dilly Dogs = life.  
26,"Check out more of Insider Presents' videos, here."
27,A Conservative Website Is Selling A MAGA Building Blocks Set To 
28,Child's play.  
29,Plan A Disney Movie Marathon And We'll Tell You Which 
30,Get your popcorn ready!  
31,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
32,Let's See Which Farm Animal You Actually Are Based On The Acai Bowl You Build
33,Delicious and nutritious!  
34,23 Tweets That ONLY Cat Owners Will Understand
35,"If you've never had a cat, this list is NOT for you.  "
36,"17 Of The Best, Most Wholesome Cat Tweets On The Internet Right Now"
37,Every day should be caturday.  
38,22 Things For Your Home From Amazon That People Actually Swear By
39,These products have improved the homes (and lives) of thousands of people!!  
40,This Abuela Dancing To Reggeaton While Cooking Is Everything You Need In Life
41,It's time to party!  
42,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
43,Which African Animal Are You Based On The Mac 'N' Cheese You Make?
44,It's gonna be grate.  
45,"BuzzFeed Home Sitemap xc2xa9 2018 BuzzFeed, Inc."
46,17 Times People Got Revenge In The Pettiest Way Imaginable
47,"Every day for like three months I went into their account and checked the little box, 'Must change password at next login."
